date,value
2010-01-01,93.87
2010-02-01,94.03
2010-03-01,94.47
2010-04-01,95.16
2010-05-01,95.96
2010-06-01,96.07
2010-07-01,96.31
2010-08-01,96.6
2010-09-01,97.16
2010-10-01,97.52
2010-11-01,97.85
2010-12-01,98.76
2011-01-01,100.28
2011-02-01,101.03
2011-03-01,102.24
2011-04-01,102.87
2011-05-01,103.18
2011-06-01,102.95
2011-07-01,103.09
2011-08-01,103.22
2011-09-01,103.3
2011-10-01,103.2
2011-11-01,102.87
2011-12-01,102.97
2012-01-01,103.5
2012-02-01,104.21
2012-03-01,104.73
2012-04-01,104.78
2012-05-01,104.19
2012-06-01,102.93
2012-07-01,102.48
2012-08-01,103.11
2012-09-01,103.47
2012-10-01,102.67
2012-11-01,101.96
2012-12-01,101.71
2013-01-01,101.87
2013-02-01,102.57
2013-03-01,102.16
2013-04-01,101.84
2013-05-01,101.49
2013-06-01,101.48
2013-07-01,101.46
2013-08-01,101.74
2013-09-01,101.63
2013-10-01,101.27
2013-11-01,101.07
2013-12-01,101.3
2014-01-01,101.57
2014-02-01,101.7
2014-03-01,101.66
2014-04-01,101.5
2014-05-01,101.49
2014-06-01,101.53
2014-07-01,101.61
2014-08-01,101.5
2014-09-01,101.14
2014-10-01,100.43
2014-11-01,100.12
2014-12-01,99.14
2015-01-01,97.92
2015-02-01,97.99
2015-03-01,97.87
2015-04-01,97.84
2015-05-01,97.9
2015-06-01,97.85
2015-07-01,97.5
2015-08-01,96.89
2015-09-01,96.47
2015-10-01,95.81
2015-11-01,95.43
2015-12-01,95.21
2016-01-01,94.69
2016-02-01,94.69
2016-03-01,94.63
2016-04-01,94.87
2016-05-01,94.98
2016-06-01,95.21
2016-07-01,95.1
2016-08-01,95.19
2016-09-01,95.41
2016-10-01,95.69
2016-11-01,96.12
2016-12-01,96.96
2017-01-01,98.37
2017-02-01,98.75
2017-03-01,98.71
2017-04-01,98.5
2017-05-01,98.23
2017-06-01,97.85
2017-07-01,97.92
2017-08-01,98.37
2017-09-01,99.03
2017-10-01,99.14
2017-11-01,99.04
2017-12-01,99.09
2018-01-01,99.5
2018-02-01,99.92
2018-03-01,99.88
2018-04-01,100.01
2018-05-01,100.3
2018-06-01,100.33
2018-07-01,100.8
2018-08-01,101.25
2018-09-01,101.54
2018-10-01,101.19
2018-11-01,100.49
2018-12-01,100.0
2019-01-01,99.89
2019-02-01,99.99
2019-03-01,100.34
2019-04-01,100.63
2019-05-01,100.74
2019-06-01,100.46
2019-07-01,100.46
2019-08-01,100.69
2019-09-01,100.75
2019-10-01,100.51
2019-11-01,100.37
2019-12-01,100.65
2020-01-01,101.02
2020-02-01,100.69
2020-03-01,99.8
2020-04-01,98.93
2020-05-01,98.96
2020-06-01,99.47
2020-07-01,99.69
2020-08-01,100.18
2020-09-01,100.38
2020-10-01,99.98
2020-11-01,100.06
2020-12-01,100.84
2021-01-01,101.96
2021-02-01,102.8
2021-03-01,103.89
2021-04-01,104.88
2021-05-01,105.45
2021-06-01,106.01
2021-07-01,107.04
2021-08-01,107.6
2021-09-01,108.0
2021-10-01,109.12
2021-11-01,109.9
2021-12-01,109.88
2022-01-01,111.04
2022-02-01,111.57
2022-03-01,113.27
2022-04-01,115.1
2022-05-01,115.92
2022-06-01,116.57
2022-07-01,116.9
2022-08-01,116.45
2022-09-01,116.53
2022-10-01,117.13
2022-11-01,116.75
2022-12-01,116.27
2023-01-01,116.69
2023-02-01,116.91
2023-03-01,117.05
2023-04-01,116.96
2023-05-01,116.53
2023-06-01,116.27
2023-07-01,116.53
2023-08-01,117.5
2023-09-01,118.03
2023-10-01,117.86
2023-11-01,117.41
2023-12-01,117.56
2024-01-01,118.19
2024-02-01,118.55
2024-03-01,118.82
2024-04-01,119.16
2024-05-01,119.25
2024-06-01,119.23
2024-07-01,119.56
2024-08-01,119.38
2024-09-01,119.16
2024-10-01,119.01
2024-11-01,119.1
2024-12-01,119.52
2025-01-01,120.27
2025-02-01,120.33
2025-03-01,120.36
2025-04-01,120.14
2025-05-01,119.64
2025-06-01,119.77
2025-07-01,120.19
2025-08-01,120.11
2025-09-01,120.54
2025-10-01,120.94
2025-11-01,121.31
2025-12-01,121.76
2026-01-01,122.56
2026-02-01,123.28
2026-03-01,125.35
2026-04-01,128.43
